Cabinet,Term of office (Start),Term of office (End),Parties,Political position
Drees–Van Schaik (Drees I),7 August 1948,15 March 1951,KVP • PvdA • CHU • VVD,Centre-left
Drees I (Drees II),15 March 1951,2 September 1952,KVP • PvdA • CHU • VVD,Centre-left
Drees II (Drees III),2 September 1952,13 October 1956,PvdA • KVP • ARP • CHU,Centre-left
Drees III (Drees IV),13 October 1956,22 December 1958,PvdA • KVP • ARP • CHU,Centre-left
Beel II,22 December 1958,19 May 1959,KVP • ARP • CHU,Centre-right
De Quay,19 May 1959,24 July 1963,KVP • VVD • ARP • CHU,Centre-right
Marijnen,24 July 1963,14 April 1965,KVP • VVD • ARP • CHU,Centre-right
Cals,14 April 1965,22 November 1966,KVP • PvdA • ARP,Centre-left
Zijlstra,22 November 1966,5 April 1967,KVP • ARP,Centre-right
De Jong,5 April 1967,6 July 1971,KVP • VVD • ARP • CHU,Centre-right
Biesheuvel I,6 July 1971,9 August 1972,KVP • VVD • ARP • CHU • DS'70,Centre-right
Biesheuvel II,9 August 1972,11 May 1973,KVP • VVD • ARP • CHU,Centre-right
Den Uyl,11 May 1973,19 December 1977,PvdA • KVP • ARP • PPR • D66,Centre-left
Van Agt I (Van Agt–Wiegel),19 December 1977,11 September 1981,KVP • VVD • ARP • CHU (1977–1980),Centre-right
Van Agt I (Van Agt–Wiegel),19 December 1977,11 September 1981,CDA • VVD (1980–1981),Centre-right
Van Agt II,11 September 1981,29 May 1982,CDA • PvdA • D66,Centre-left
Van Agt III,29 May 1982,4 November 1982,CDA • D66,Centre-right
Lubbers I,4 November 1982,14 July 1986,CDA • VVD,Centre-right
Lubbers II,14 July 1986,7 November 1989,CDA • VVD,Centre-right
Lubbers III (Lubbers–Kok),7 November 1989,22 August 1994,CDA • PvdA,Centre-left
Kok I (Purple I),22 August 1994,3 August 1998,PvdA • VVD • D66,Centrist
Kok II (Purple II),3 August 1998,22 July 2002,PvdA • VVD • D66,Centrist
Balkenende I,22 June 2002,27 May 2003,CDA • LPF • VVD,Right-wing
Balkenende II,27 May 2003,7 July 2006,CDA • VVD • D66,Centre-right
Balkenende III,7 July 2006,22 February 2007,CDA • VVD,Centre-right
Balkenende IV,22 February 2007,14 October 2010,CDA • PvdA • CU,Centrist
Rutte I (Rutte–Verhagen),14 October 2010,5 November 2012,VVD • CDA (PVV),Right-wing
Rutte II (Rutte–Asscher),5 November 2012,26 October 2017,VVD • PvdA,Centrist
Rutte III,26 October 2017,10 January 2022,VVD • CDA • D66 • CU,Centre-right
